pid,name,gender,price,type,inventory_amount,color,size
10365,nibh,m,6,dress pants,32,Blue,large
10374,tristique,m,116,dress pants,25,Blue,medium
10388,netus,m,172,dress pants,35,White,small
10405,diam,m,137,dress pants,35,Black,large
10408,nunc,m,51,dress pants,15,Black,small
10443,fames Phasellus,m,30,dress pants,31,Black,small
10455,Ut,m,88,dress pants,39,Black,large
10464,dis,m,47,dress pants,34,Black,medium
10491,Curae Ut,m,30,dress pants,5,Black,large
10509,suscipit,m,20,dress pants,26,Black,small
10511,hymenaeos dignissim,m,117,dress pants,13,Black,large
10516,ad,m,138,dress pants,35,Black,large
10523,facilisi mattis,m,31,dress pants,44,Black,large
10536,natoque fames,m,160,dress pants,15,Black,large
10545,imperdiet Nam,m,9,dress pants,10,Black,medium
10546,id nibh,m,180,dress pants,35,Black,large
10579,tristique Quisque,m,62,dress pants,32,Black,large
10582,ullamcorper elit,m,83,dress pants,49,Black,large
10585,justo vel,m,62,dress pants,36,Black,small
10314,Lorem,m,113,dress shirt,31,Green,medium
10319,dolor,m,180,dress shirt,31,Red,small
10322,tellus enim,m,172,dress shirt,50,Yellow,small
10331,volutpat litora,m,180,dress shirt,19,Red,large
10361,luctus,m,81,dress shirt,50,Black,medium
10409,at,m,56,dress shirt,44,Black,medium
10410,eros torquent,m,181,dress shirt,38,Black,large
10429,hendrerit,m,36,dress shirt,32,Black,medium
10477,rutrum,m,196,dress shirt,11,Black,medium
10488,molestie pede,m,142,dress shirt,29,Black,large
10493,dis,m,179,dress shirt,42,Black,large
10494,varius mattis,m,39,dress shirt,14,Black,small
10496,nisi neque,m,161,dress shirt,33,Black,large
10500,pharetra,m,200,dress shirt,33,Black,medium
10503,dapibus est,m,129,dress shirt,20,Black,large
10554,urna vehicula,m,139,dress shirt,10,Black,small
10561,erat,m,13,dress shirt,48,Black,large
10591,risus,m,67,dress shirt,10,Black,medium
10595,Lorem,m,119,dress shirt,35,Black,small
10007,Pellentesque,f,21,jeans,16,Green,small
10017,morbi imperdiet,f,118,jeans,44,White,small
10023,consectetuer,f,33,jeans,42,Green,small
10035,dolor Morbi,f,166,jeans,46,Green,small
10073,leo Praesent,f,130,jeans,24,Blue,small
10130,arcu,f,120,jeans,32,Blue,small
10133,ligula condimentum,f,66,jeans,32,White,small
10195,Aliquam quis,f,69,jeans,12,Blue,medium
10211,tincidunt Donec,f,153,jeans,30,Blue,medium
10231,Donec purus,f,29,jeans,32,Green,large
10272,pretium,f,43,jeans,9,Blue,large
10278,bibendum,f,132,jeans,35,Blue,large
10284,cubilia pretium,f,37,jeans,25,Blue,large
10289,lectus,f,82,jeans,39,Green,large
10290,varius dis,f,24,jeans,43,Blue,large
10300,Duis,m,63,jeans,45,Blue,large
10303,auctor,m,128,jeans,38,White,large
10335,dictum,m,181,jeans,13,Red,medium
10343,erat,m,35,jeans,32,Blue,medium
10354,magnis,m,106,jeans,50,Blue,large
10362,quam Mauris,m,32,jeans,27,White,large
10364,morbi,m,121,jeans,45,Green,medium
10379,non sodales,m,91,jeans,12,Green,medium
10387,elit,m,145,jeans,34,Black,large
10393,litora,m,200,jeans,26,Black,small
10411,inceptos faucibus,m,108,jeans,11,Black,medium
10413,posuere laoreet,m,67,jeans,25,Black,small
10416,Nulla Vivamus,m,63,jeans,13,Black,small
10424,taciti cursus,m,156,jeans,27,Black,medium
10435,venenatis penatibus,m,93,jeans,34,Black,large
10447,Curae,m,200,jeans,46,Black,large
10469,tincidunt,m,164,jeans,48,Black,small
10479,Etiam eu,m,19,jeans,44,Black,small
10481,penatibus dui,m,103,jeans,26,Black,large
10495,convallis,m,84,jeans,44,Black,medium
10498,et convallis,m,126,jeans,9,Black,large
10526,parturient dignissim,m,147,jeans,35,Black,large
10534,est a,m,97,jeans,45,Black,large
10541,tempor egestas,m,180,jeans,26,Black,large
10549,litora,m,44,jeans,35,Black,small
10552,euismod Pellentesque,m,178,jeans,10,Black,medium
10555,nisi,m,168,jeans,7,Black,medium
10566,aliquam auctor,m,114,jeans,42,Black,large
10572,sagittis,m,116,jeans,5,Black,medium
10578,at dignissim,m,157,jeans,38,Black,medium
10000,Duis nunc,f,95,leggings,8,Red,small
10015,ante Mauris,f,142,leggings,36,Yellow,small
10028,diam malesuada,f,189,leggings,32,Red,small
10065,ullamcorper,f,180,leggings,8,Red,small
10067,mauris,f,141,leggings,12,Blue,small
10089,iaculis,f,115,leggings,45,Blue,small
10090,vehicula conubia,f,115,leggings,34,Yellow,small
10099,eros,f,8,leggings,27,Blue,small
10146,habitant amet,f,91,leggings,6,Red,small
10166,faucibus ut,f,152,leggings,21,Green,medium
10170,fermentum,f,61,leggings,28,White,medium
10178,cursus,f,61,leggings,49,Green,medium
10205,ligula tortor,f,196,leggings,28,Blue,medium
10207,libero Class,f,142,leggings,33,Black,medium
10218,consectetuer,f,174,leggings,12,Red,large
10256,egestas,f,71,leggings,24,Red,large
10258,non eget,f,24,leggings,47,Blue,large
10274,imperdiet,f,144,leggings,19,Black,large
10283,Aliquam,f,127,leggings,42,Green,large
10291,inceptos,f,137,leggings,25,Yellow,large
10005,conubia pretium,f,195,long sleeve tee,38,White,small
10022,per,f,10,long sleeve tee,10,Red,small
10029,senectus,f,68,long sleeve tee,35,Green,small
10041,Class metus,f,167,long sleeve tee,44,Green,small
10116,Fusce sollicitudin,f,34,long sleeve tee,25,Black,small
10132,dignissim,f,13,long sleeve tee,45,Black,small
10134,nascetur Praesent,f,104,long sleeve tee,36,Red,small
10154,lacus Phasellus,f,194,long sleeve tee,30,Black,small
10160,pede,f,107,long sleeve tee,16,Green,small
10172,at,f,102,long sleeve tee,48,Green,medium
10177,vel In,f,98,long sleeve tee,21,Red,medium
10179,hendrerit mattis,f,116,long sleeve tee,14,Blue,medium
10183,ridiculus vulputate,f,197,long sleeve tee,35,Blue,medium
10192,Nullam,f,14,long sleeve tee,33,White,medium
10214,facilisis non,f,18,long sleeve tee,17,Blue,medium
10238,urna,f,110,long sleeve tee,13,Black,large
10267,Duis,f,153,long sleeve tee,10,Blue,large
10297,Nulla viverra,f,75,long sleeve tee,46,White,large
10334,congue quis,m,153,long sleeve tee,43,Yellow,large
10357,lorem,m,132,long sleeve tee,27,Red,large
10358,suscipit conubia,m,50,long sleeve tee,26,Green,small
10370,conubia,m,113,long sleeve tee,28,Blue,large
10373,iaculis,m,19,long sleeve tee,9,Green,small
10384,imperdiet vestibulum,m,47,long sleeve tee,20,Green,medium
10391,dui cursus,m,184,long sleeve tee,21,Black,medium
10400,elit auctor,m,139,long sleeve tee,45,Black,large
10402,vehicula,m,180,long sleeve tee,42,Black,large
10437,primis varius,m,189,long sleeve tee,37,Black,large
10444,hendrerit eget,m,31,long sleeve tee,12,Black,medium
10445,placerat Nullam,m,140,long sleeve tee,34,Black,large
10456,hymenaeos iaculis,m,49,long sleeve tee,23,Black,medium
10519,netus,m,24,long sleeve tee,24,Black,small
10520,ultrices Pellentesque,m,64,long sleeve tee,44,Black,medium
10538,metus,m,97,long sleeve tee,11,Black,medium
10560,accumsan ad,m,38,long sleeve tee,17,Black,medium
10576,eu,m,55,long sleeve tee,32,Black,large
10592,Integer fermentum,m,5,long sleeve tee,5,Black,large
10038,imperdiet,f,172,scarf,5,Black,one size
10045,aliquam aliquet,f,64,scarf,13,Green,one size
10068,suscipit risus,f,26,scarf,20,Yellow,one size
10070,pretium,f,174,scarf,34,White,one size
10071,consectetuer ullamcorper,f,8,scarf,15,Red,one size
10072,Phasellus,f,30,scarf,12,Green,one size
10077,lacinia massa,f,38,scarf,41,Blue,one size
10106,condimentum,f,196,scarf,37,Red,one size
10109,amet,f,22,scarf,7,Yellow,one size
10111,lacinia,f,194,scarf,28,White,one size
10126,sed fames,f,105,scarf,5,Blue,one size
10138,ipsum,f,109,scarf,50,Black,one size
10203,Pellentesque,f,112,scarf,29,Red,one size
10217,pharetra sociosqu,f,102,scarf,24,White,one size
10219,Maecenas,f,154,scarf,13,Green,one size
10239,nec eu,f,115,scarf,43,White,one size
10259,mattis,f,100,scarf,15,Yellow,one size
10287,augue,f,52,scarf,40,White,one size
10306,morbi volutpat,m,13,scarf,24,Blue,one size
10316,scelerisque,m,169,scarf,41,Yellow,one size
10330,est,m,102,scarf,26,White,one size
10337,hendrerit Quisque,m,172,scarf,35,Blue,one size
10351,metus,m,117,scarf,50,White,one size
10360,condimentum,m,106,scarf,9,Yellow,one size
10381,Sed mi,m,165,scarf,21,Blue,one size
10385,arcu odio,m,91,scarf,13,Blue,one size
10436,Morbi ut,m,19,scarf,38,Black,one size
10449,ac,m,86,scarf,34,Black,one size
10466,bibendum Cum,m,68,scarf,6,Black,one size
10471,magnis condimentum,m,67,scarf,47,Black,one size
10476,neque,m,198,scarf,21,Black,one size
10482,euismod scelerisque,m,81,scarf,48,Black,one size
10525,nascetur,m,126,scarf,32,Black,one size
10583,lobortis nostra,m,80,scarf,50,Black,one size
10008,vel,f,184,short sleeve tee,46,Blue,small
10032,risus torquent,f,131,short sleeve tee,9,Black,small
10042,consectetuer quam,f,175,short sleeve tee,5,Blue,small
10061,porta nonummy,f,80,short sleeve tee,44,Blue,small
10094,sociosqu,f,60,short sleeve tee,39,Green,small
10096,faucibus rhoncus,f,35,short sleeve tee,24,Yellow,small
10110,Lorem nostra,f,111,short sleeve tee,33,Black,small
10119,mi lobortis,f,19,short sleeve tee,12,Green,small
10137,eros et,f,77,short sleeve tee,24,Yellow,small
10156,malesuada varius,f,189,short sleeve tee,24,Red,small
10180,sociis commodo,f,69,short sleeve tee,47,Yellow,medium
10187,aliquam quis,f,12,short sleeve tee,5,Red,medium
10200,Donec,f,117,short sleeve tee,40,Green,medium
10204,mollis,f,8,short sleeve tee,11,Green,medium
10245,imperdiet bibendum,f,26,short sleeve tee,30,White,large
10255,Phasellus libero,f,152,short sleeve tee,36,Yellow,large
10277,hymenaeos id,f,41,short sleeve tee,27,Green,large
10285,sagittis ultrices,f,155,short sleeve tee,45,Yellow,large
10293,leo,f,7,short sleeve tee,14,Green,large
10296,vulputate nec,f,110,short sleeve tee,48,Black,medium
10312,condimentum Nunc,m,97,short sleeve tee,24,Blue,large
10318,conubia lobortis,m,7,short sleeve tee,12,White,large
10328,parturient,m,152,short sleeve tee,47,Yellow,medium
10344,et posuere,m,43,short sleeve tee,36,Blue,large
10349,Aenean,m,97,short sleeve tee,7,Yellow,large
10376,elit,m,50,short sleeve tee,48,Black,medium
10377,Ut fermentum,m,18,short sleeve tee,23,White,large
10382,accumsan,m,190,short sleeve tee,8,Yellow,large
10390,nostra a,m,183,short sleeve tee,5,Black,large
10392,sagittis convallis,m,123,short sleeve tee,8,Black,large
10419,urna cursus,m,82,short sleeve tee,9,Black,medium
10421,Phasellus Nunc,m,17,short sleeve tee,26,Black,small
10431,ligula,m,182,short sleeve tee,34,Black,medium
10441,habitant,m,156,short sleeve tee,25,Black,medium
10442,Suspendisse,m,14,short sleeve tee,34,Black,large
10463,Curae,m,79,short sleeve tee,25,Black,small
10480,libero,m,43,short sleeve tee,8,Black,medium
10497,netus Praesent,m,69,short sleeve tee,22,Black,medium
10557,ipsum,m,69,short sleeve tee,31,Black,medium
10571,sagittis lacinia,m,20,short sleeve tee,41,Black,large
10597,dapibus,m,49,short sleeve tee,47,Black,large
10001,ullamcorper sagittis,f,125,skirt,46,Green,medium
10002,nonummy,f,113,skirt,16,Blue,large
10053,felis vestibulum,f,70,skirt,24,Red,small
10081,elit ut,f,30,skirt,18,Red,small
10084,vehicula,f,174,skirt,18,Yellow,small
10101,dapibus,f,170,skirt,12,Black,small
10120,Duis bibendum,f,48,skirt,18,Blue,small
10140,sodales,f,72,skirt,28,Red,small
10149,Fusce scelerisque,f,141,skirt,44,Yellow,small
10157,sit pharetra,f,153,skirt,7,Green,small
10164,rutrum primis,f,16,skirt,31,White,medium
10173,justo,f,168,skirt,34,Blue,medium
10174,Nam,f,174,skirt,48,Yellow,medium
10194,nisl facilisis,f,53,skirt,37,Green,medium
10212,Fusce,f,191,skirt,5,Red,medium
10216,In vehicula,f,46,skirt,26,Black,large
10225,iaculis,f,82,skirt,20,Green,large
10251,interdum,f,117,skirt,20,White,large
10282,varius,f,101,skirt,10,Red,large
10301,leo hymenaeos,m,189,skirt,27,Yellow,small
10311,elementum,m,167,skirt,38,Green,medium
10324,egestas mattis,m,48,skirt,10,White,large
10333,mollis,m,8,skirt,25,Blue,medium
10367,laoreet,m,39,skirt,19,Yellow,large
10380,eros lectus,m,73,skirt,9,Blue,large
10423,laoreet,m,79,skirt,10,Black,large
10425,nisl,m,38,skirt,16,Black,large
10427,suscipit,m,56,skirt,12,Black,medium
10462,litora,m,11,skirt,15,Black,large
10468,parturient Cras,m,112,skirt,28,Black,large
10470,euismod massa,m,84,skirt,17,Black,medium
10478,conubia,m,105,skirt,34,Black,large
10492,taciti,m,23,skirt,32,Black,medium
10505,eu rhoncus,m,187,skirt,9,Black,medium
10521,montes quam,m,184,skirt,42,Black,large
10539,Duis,m,53,skirt,11,Black,large
10543,Nullam quis,m,19,skirt,49,Black,large
10563,eleifend posuere,m,138,skirt,20,Black,large
10564,purus semper,m,190,skirt,34,Black,small
10036,rutrum porttitor,f,168,socks,36,Blue,small
10044,Duis mus,f,69,socks,5,Red,small
10047,montes diam,f,67,socks,35,Yellow,small
10056,orci sed,f,128,socks,43,Yellow,small
10063,vel,f,118,socks,6,Black,small
10083,Quisque,f,97,socks,35,Blue,small
10091,Cras blandit,f,62,socks,48,Black,small
10104,odio,f,188,socks,41,Green,small
10113,In ad,f,199,socks,20,Green,small
10121,id nonummy,f,126,socks,20,Yellow,small
10147,mollis,f,82,socks,9,Green,small
10153,mauris,f,58,socks,14,Yellow,small
10196,Fusce,f,196,socks,29,Yellow,medium
10197,natoque,f,153,socks,7,Black,medium
10226,ornare auctor,f,88,socks,17,Blue,large
10240,at eu,f,191,socks,19,Red,large
10248,Curae Integer,f,158,socks,38,Blue,large
10270,adipiscing,f,47,socks,9,Red,large
10292,per suscipit,f,102,socks,46,Red,large
10325,elementum viverra,m,141,socks,25,Red,medium
10348,Nulla,m,200,socks,42,Blue,medium
10355,tristique dis,m,95,socks,19,Blue,medium
10356,bibendum accumsan,m,127,socks,16,Yellow,medium
10395,facilisi,m,25,socks,50,Black,large
10406,feugiat nulla,m,86,socks,34,Black,medium
10418,tempor cursus,m,54,socks,21,Black,large
10422,litora,m,98,socks,37,Black,medium
10483,Praesent,m,143,socks,24,Black,large
10484,faucibus Nullam,m,60,socks,49,Black,small
10524,Proin accumsan,m,5,socks,8,Black,small
10528,facilisi,m,92,socks,49,Black,medium
10547,orci mattis,m,61,socks,20,Black,medium
10559,aliquet,m,27,socks,36,Black,small
10580,eu,m,163,socks,28,Black,small
10596,urna,m,94,socks,44,Black,medium
10021,neque,f,129,sweater,19,Yellow,small
10025,Vestibulum pharetra,f,152,sweater,25,Yellow,small
10027,a,f,83,sweater,16,White,small
10049,senectus dignissim,f,51,sweater,15,White,small
10051,orci sapien,f,145,sweater,17,Green,small
10092,at Phasellus,f,176,sweater,12,White,small
10098,commodo,f,53,sweater,28,Green,small
10100,inceptos,f,83,sweater,47,Yellow,small
10103,fringilla,f,115,sweater,21,Red,small
10105,vitae,f,57,sweater,14,Blue,small
10115,massa gravida,f,8,sweater,43,Yellow,small
10155,justo,f,171,sweater,13,White,small
10171,magna,f,147,sweater,42,Red,medium
10176,ridiculus interdum,f,145,sweater,8,White,medium
10185,congue ultrices,f,141,sweater,40,Black,medium
10222,eget,f,171,sweater,31,Black,large
10232,senectus,f,55,sweater,13,Blue,large
10247,vitae semper,f,178,sweater,11,Green,large
10249,a,f,133,sweater,34,Yellow,large
10260,purus,f,54,sweater,41,Black,large
10264,per a,f,128,sweater,38,Blue,large
10269,molestie Proin,f,169,sweater,47,Black,large
10275,pellentesque,f,15,sweater,48,White,large
10276,odio rutrum,f,175,sweater,29,Red,large
10294,turpis montes,f,91,sweater,30,Blue,large
10317,inceptos Cum,m,97,sweater,15,Black,medium
10346,elit augue,m,180,sweater,35,Red,large
10347,Sed,m,162,sweater,22,Green,small
10383,Maecenas Donec,m,64,sweater,20,Red,small
10448,gravida,m,55,sweater,41,Black,small
10475,mi,m,166,sweater,31,Black,medium
10485,placerat rhoncus,m,66,sweater,34,Black,medium
10489,faucibus vestibulum,m,187,sweater,45,Black,small
10510,nostra Integer,m,77,sweater,23,Black,medium
10513,turpis,m,194,sweater,28,Black,large
10540,purus,m,180,sweater,9,Black,medium
10556,posuere per,m,158,sweater,26,Black,large
10573,amet auctor,m,97,sweater,8,Black,large
10009,pede,f,184,tank top,14,Yellow,small
10012,ridiculus,f,38,tank top,21,Red,small
10013,aliquet,f,129,tank top,23,Green,small
10018,sodales,f,82,tank top,31,Red,small
10024,eleifend tincidunt,f,47,tank top,5,Blue,small
10050,dapibus,f,32,tank top,14,Red,small
10059,fermentum ullamcorper,f,132,tank top,37,Red,small
10069,molestie arcu,f,99,tank top,19,Black,small
10075,Proin,f,131,tank top,5,Red,small
10108,aliquet,f,192,tank top,32,Blue,small
10124,tortor,f,163,tank top,6,Red,small
10128,Aenean quis,f,183,tank top,14,Red,small
10142,augue,f,135,tank top,5,Blue,small
10143,Class,f,104,tank top,33,Yellow,small
10150,non cursus,f,195,tank top,15,Red,small
10162,at,f,29,tank top,12,Yellow,medium
10168,interdum,f,12,tank top,13,Yellow,medium
10201,enim placerat,f,64,tank top,16,Blue,medium
10223,eros,f,61,tank top,17,White,large
10241,neque,f,196,tank top,43,Green,large
10250,nec,f,192,tank top,38,Black,large
10265,lobortis,f,158,tank top,20,Red,large
10279,Class penatibus,f,188,tank top,45,Yellow,large
10299,Suspendisse,f,143,tank top,30,Green,medium
10320,nisi lorem,m,15,tank top,50,Green,medium
10326,leo,m,113,tank top,28,Green,large
10342,bibendum,m,117,tank top,23,Green,small
10366,aliquam mus,m,116,tank top,22,Blue,medium
10378,commodo,m,8,tank top,21,Red,small
10398,rutrum nonummy,m,89,tank top,25,Black,small
10415,mattis,m,35,tank top,13,Black,large
10439,habitant,m,107,tank top,40,Black,medium
10450,montes,m,193,tank top,39,Black,large
10454,dictum,m,96,tank top,40,Black,medium
10490,scelerisque,m,200,tank top,48,Black,medium
10517,placerat euismod,m,169,tank top,21,Black,medium
10529,Pellentesque,m,175,tank top,35,Black,large
10542,vitae massa,m,186,tank top,22,Black,medium
10544,fames,m,16,tank top,42,Black,small
10551,congue at,m,65,tank top,29,Black,large
10562,tincidunt,m,30,tank top,50,Black,medium
10594,per,m,21,tank top,48,Black,large
