31,80920 West Jordan Way,Barrow,New Mexico,20287,31,3,31
32,28461 West Abilene Blvd.,Carbondale,Nevada,69105,34,1,32
33,44412  China Ct.,Huntington Park,Nevada,57493,45,4,33
34,78642  Chattanooga Ave.,Michigan City,Alabama,41572,45,6,34
35,30109 North Finland St.,Monrovia,Oklahoma,43106,44,2,35
36,32234  Honolulu Ct.,Morrison,Ohio,30982,45,5,36
37,68200 West Bahrain Way,Enfield,Maryland,22898,37,5,37
38,64780 West Albania St.,Vallejo,Utah,92915,48,7,38
39,18017 North El Cerrito Ave.,Victoria,Connecticut,21919,34,3,39
40,68956 West Panama Ln.,Juneau,Arizona,16696,16,1,40
41,65607 West India Blvd.,Zanesville,Texas,73384,37,3,41
42,80473 North Galesburg Way,West Jordan,Michigan,99838,43,6,42
43,46849 West Niue Ln.,Beckley,West Virginia,48813,39,10,43
44,44082 South Pittston Ln.,Gilbert,South Dakota,79252,30,3,44
45,30759 South Holy See (Vatican City State) Ct.,Farmer City,Washington,96560,49,1,45
46,96338 East Bahrain Blvd.,Hammond,Florida,34159,29,1,46
47,62289 East Joplin Way,Wisconsin Rapids,Alabama,72268,21,4,47
48,80699 South Australia Way,Morgantown,Georgia,10615,36,8,48
49,69672 East Equatorial Guinea St.,Agoura Hills,Delaware,86015,35,9,49
50,54319 West Gettysburg Ln.,Nome,Nebraska,77611,18,5,50
51,67862 West New Caledonia Ct.,Blacksburg,Oregon,14002,42,3,51
52,16855 South Pass Christian St.,Ypsilanti,Georgia,6991,20,10,52
53,39614 West Brunei Darussalam Ct.,Bartlesville,Oklahoma,65518,35,8,53
54,73830 East Finland Way,Douglas,Tennessee,59453,24,1,54
55,20341 West Burlington Way,Atwater,Alabama,43417,25,4,55
56,48864  Netherlands Antilles Way,Grand Rapids,Illinois,86597,37,7,56
57,18896 North Beaumont Ave.,Ardmore,Nebraska,22549,43,2,57
58,14974 West Afghanistan Ln.,Gilbert,Wisconsin,74967,30,10,58
59,56827  Bouvet Island St.,Helena,District of Columbia,44228,25,7,59
60,94586 North Kuwait Blvd.,Little Rock,Montana,56037,44,6,60
61,16094 East Brazil Blvd.,Visalia,Louisiana,30408,30,9,61
62,79883  Pocatello Ct.,El Monte,Texas,96842,46,5,62
63,12357 West Bulgaria Way,Garden Grove,West Virginia,97226,45,4,63
64,93149 North Port Washington Way,Hialeah,Kansas,97513,29,4,64
65,78064 West East Rutherford Blvd.,Claremont,Missouri,11840,31,2,65
66,93582 North Turks and Caicos Islands Blvd.,Dayton,Washington,29670,47,3,66
67,24898 East Belize Ave.,Jefferson City,South Dakota,2808,18,4,67
68,81763 North Lesotho Blvd.,Las Vegas,Utah,33572,44,2,68
69,87070 South Sri Lanka St.,Arlington,Virginia,94771,21,9,69
70,90638 North Trinidad and Tobago Way,Fairbanks,North Carolina,15442,42,6,70
71,78522 North Myanmar Way,Salem,Idaho,72215,25,6,71
72,31361 North Albania Ln.,Parkersburg,South Carolina,68543,17,1,72
73,39268 East Cocos (Keeling) Islands Way,Saint Cloud,Wyoming,60272,46,2,73
74,73873  Micronesia St.,Scarborough,Mississippi,52355,47,8,74
75,68606 East Sri Lanka Ct.,Biloxi,Washington,12560,45,1,75
76,33327 East Singapore Ave.,Hoboken,Maryland,65135,46,5,76
77,70636 West Anguilla St.,Idaho Falls,South Dakota,35537,15,10,77
78,95091 East Egypt Way,Louisville,Nebraska,48934,20,8,78
79,17359 South Brazil St.,Beaumont,Nebraska,97376,36,8,79
80,16429 North Sweden St.,Vancouver,Maine,69947,39,3,80
81,98993 South Orangeburg Ct.,Morgan City,Nebraska,40453,16,7,81
82,45701 South Netherlands Antilles Ave.,Azusa,Utah,5240,22,2,82
83,91330 East Bhutan Ct.,Hanahan,Minnesota,67510,33,7,83
84,81693 South Melrose Ln.,Saint Cloud,New Mexico,31720,32,1,84
85,90186 North High Point St.,Shreveport,South Dakota,72489,50,9,85
86,10242 West Murfreesboro St.,Galveston,Indiana,59745,46,6,86
87,95409 East Helena Ct.,Abilene,New Mexico,87237,27,8,87
88,65582 West Ghana Ct.,East Hartford,South Carolina,80825,23,5,88
89,31549 South Brunei Darussalam Blvd.,Seal Beach,New Mexico,52636,46,5,89
90,59533 North Iceland Ct.,Morgantown,New York,85896,20,6,90
91,3941 South Samoa Ln.,Gardena,South Carolina,87096,48,5,91
92,18703  Taiwan, Province of China Ave.,Thibodaux,75060,20,2,92
93,81325  Argentina Ave.,Saint Cloud,Tennessee,3718,38,1,93
94,94422 West Austria Ln.,Weymouth,Oregon,35153,31,5,94
95,21176 East Marshall Islands Ln.,Attleboro,West Virginia,10685,43,2,95
96,82604 South Sudan Ave.,Gadsden,Ohio,87339,16,3,96
97,9741 West Hidden Hills Way,Forrest City,Iowa,77587,50,4,97
98,72307 West Fajardo Ct.,Flagstaff,Montana,67674,23,4,98
99,95970  Niger St.,Brookfield,Colorado,82476,46,1,99
100,76610  Bhutan Blvd.,Moscow,Nebraska,23504,22,4,100
